1000	4
999	14
998	17
997	57
996	70
995	74
994	118
993	188
992	187
991	199
990	237
989	228
988	251
987	245
986	244
985	272
984	267
983	246
982	250
981	236
980	234
979	249
978	209
977	193
976	253
975	193
974	204
973	197
972	207
971	186
970	183
969	163
968	216
967	141
966	210
965	120
964	234
963	146
962	167
961	155
960	170
959	147
958	142
957	126
956	135
955	140
954	179
953	149
952	134
951	130
950	122
949	119
948	114
947	138
946	93
945	124
944	120
943	112
942	95
941	103
940	118
939	104
938	104
937	111
936	111
935	111
934	108
933	105
932	108
931	124
930	91
929	99
928	84
927	114
926	106
925	81
924	115
923	99
922	99
921	108
920	135
919	74
918	91
917	95
916	93
915	85
914	93
913	99
912	120
911	61
910	165
909	24
908	171
906	203
905	17
904	204
903	41
902	144
901	84
900	121
899	90
898	142
897	84
896	138
895	89
894	131
893	104
892	124
891	85
890	127
889	86
888	93
887	102
886	119
885	98
884	91
883	128
882	91
881	96
880	127
879	99
878	128
877	114
876	113
875	106
874	90
873	106
872	133
871	103
870	129
869	81
868	112
867	119
866	110
865	133
864	102
863	125
862	101
861	125
860	110
859	127
858	116
857	95
856	118
855	127
854	116
853	140
852	124
851	119
850	125
849	95
848	88
847	142
846	116
845	126
844	125
843	134
842	136
841	114
840	126
839	136
838	129
837	99
836	151
835	79
834	194
833	111
832	120
831	156
830	111
829	129
828	163
827	138
826	121
825	155
824	102
823	169
822	109
821	140
820	158
819	136
818	138
817	161
816	117
815	184
814	147
813	130
812	150
811	187
810	146
809	215
808	54
807	280
805	304
804	114
803	191
802	154
801	163
800	157
799	192
798	149
797	170
796	150
795	189
794	168
793	194
792	149
791	192
790	132
789	184
788	162
787	175
786	136
785	171
784	157
783	178
782	153
781	185
780	218
779	161
778	163
777	163
776	218
775	162
774	183
773	183
772	158
771	163
770	141
769	155
768	192
767	219
766	205
765	137
764	187
763	189
762	161
761	187
760	203
759	183
758	176
757	190
756	213
755	149
754	183
753	190
752	173
751	168
750	143
749	221
748	188
747	166
746	244
745	126
744	164
743	280
742	23
741	270
740	248
739	128
738	215
737	184
736	162
735	189
734	161
733	172
732	208
731	211
730	193
729	207
728	194
727	169
726	228
725	181
724	218
723	172
722	253
721	156
720	199
719	198
718	225
717	206
716	211
715	205
714	211
713	224
712	237
711	205
